datetime,date,account_type,category,type,asset_class,name,symbol,shares,price,amount,fee,tax,currency,original_amount,original_currency,fx_rate,description,transaction_id,counterparty_name,counterparty_iban,payment_reference,mcc_code
2026-03-01T01:07:07.240474Z,2026-03-01,DEFAULT,CASH,BENEFITS_SAVEBACK,,,,,,15.000000,,,EUR,,,, Saveback cash reward 55be0b59-cf98-429a-a1d6-59d3c1c2bed2 for reservation: 80020d02-f7f4-421f-9cf5-81813305d31c,019ca6ef-4f68-7d63-8505-42c9bc69e5f7,,,,
2026-03-01T06:23:15.530687Z,2026-03-01,DEFAULT,CASH,INTEREST_PAYMENT,,,,,,8.970000,,,EUR,,,,Interest payment for payout collection 019ca740-7f44-75cc-ba85-dbdf1fbee55b,019ca810-be4a-742b-b1af-ea04dd6a7faa,,,,
2026-03-01T10:06:43.938233Z,2026-03-01,DEFAULT,CASH,CARD_TRANSACTION,,Lidl sagt Danke,,,,-3.680000,,,EUR,,,,Lidl sagt Danke,019ca8dd-56e2-74f9-af00-919353961ddc,,,,5411
2026-03-01T12:21:21.220164Z,2026-03-01,DEFAULT,CASH,CARD_TRANSACTION,,Hanife Oeztuerk eK,,,,-9.720000,,,EUR,,,,HANIFE OEZTUERK EK,019ca958-96c4-7c05-9c35-8f04606ad923,,,,5411
2026-03-01T13:06:55.949815Z,2026-03-01,DEFAULT,CASH,CARD_TRANSACTION,,Elefanten Apotheke,,,,-10.000000,,,EUR,,,,ELEFANTEN APOTHEKE,019ca982-514d-73d7-ae50-5b8278723bf6,,,,5912
2026-03-02T07:39:20.351Z,2026-03-02,DEFAULT,TRADING,BUY,CRYPTO,Bitcoin,BTC,0.0005170000,58006.0500000000,-29.99,,,EUR,,,,"Savings plan execution XF000BTC0017 Bitcoin, quantity: 0.000517",4aa4b30a-21cd-4920-9375-2bf1986e4d0d,,,,
2026-03-02T07:43:38.294Z,2026-03-02,DEFAULT,TRADING,BUY,CRYPTO,Ethereum,ETH,0.0175980000,1704.7300000000,-30.00,,,EUR,,,,"Savings plan execution XF000ETH0019 Ethereum, quantity: 0.017598",a0d8a71b-b0aa-4e99-93f4-65bc5705d980,,,,
2026-03-02T07:45:04.181Z,2026-03-02,DEFAULT,TRADING,BUY,CRYPTO,XRP,XRP,16.8180850000,1.1891960000,-20.00,,,EUR,,,,"Savings plan execution XF000XRP0018 XRP, quantity: 16.818085",035e1e29-341f-4ff8-8465-e3ec6b0708e9,,,,
2026-03-02T08:07:24.478912Z,2026-03-02,DEFAULT,CASH,TRANSFER_DIRECT_DEBIT_INBOUND,,,,,,-31.500000,,,EUR,,,,Sepa Direct Debit transfer to AGILA Haustierversicherung AG (DE26250400660450912100),019cad96-743e-7ffd-835d-797a0afa97f5,,,,
2026-03-02T09:02:48.158Z,2026-03-02,DEFAULT,TRADING,BUY,STOCK,Allianz,DE0008404005,0.4845220000,371.5000000000,-180.00,,,EUR,,,,"Savings plan execution DE0008404005 ALLIANZ AG VNA O.N., quantity: 0.484522",a97d3c2c-ffa3-4222-84b4-fa2b30442455,,,,
2026-03-02T09:05:35.788Z,2026-03-02,DEFAULT,TRADING,BUY,FUND,Global Quality Dividends USD (Dist),IE0005AJA0P1,11.7684810000,9.3470000000,-110.00,,,EUR,,,,"Savings plan execution IE0005AJA0P1 Legal & General UCITS ETF Plc - L&G Global Quality Dividends UCITS ETF USD Distributing ETF, quantity: 11.768481",6efac4f9-849c-48c0-8d9d-2af04e7c9994,,,,
2026-03-02T09:12:04.262342Z,2026-03-02,DEFAULT,CASH,TRANSFER_INSTANT_OUTBOUND,,,,,,-548.350000,,,EUR,,,,Outgoing transfer for Jens Spitzner (DE47120300001058893676),019cadd1-a7a6-7a18-9848-fe8847958adc,,,,
2026-03-02T09:19:46.784502Z,2026-03-02,DEFAULT,CASH,CARD_TRANSACTION,,EVERSPORTS* AIRFITNESS,,,,-42.900000,,,EUR,,,,EVERSPORTS* AIRFITNESS,019cadd8-b660-7edd-9ff2-544f5cfc0a5e,,,,5734
2026-03-02T09:22:11.919Z,2026-03-02,DEFAULT,TRADING,BUY,STOCK,Münchener Rück,DE0008430026,0.3620560000,552.4000000000,-200.00,,,EUR,,,,"Savings plan execution DE0008430026 MUENCH.RUECKVERS.VNA O.N., quantity: 0.362056",f3b117e3-7f89-4924-8172-a1bf6550720f,,,,
2026-03-02T09:24:40.946Z,2026-03-02,DEFAULT,TRADING,BUY,FUND,US Equity Premium Income (Dist),IE000U5MJOZ6,5.0458710000,21.8000000000,-110.00,,,EUR,,,,"Savings plan execution IE000U5MJOZ6 JPMorgan ETFs (Ireland) ICAV - US Equity Premium Income Active UCITS ETF USD (dist), quantity: 5.045871",219eb397-fe80-48e9-bbc4-9073ab3abc6e,,,,
2026-03-02T09:26:57.329Z,2026-03-02,DEFAULT,TRADING,BUY,FUND,€ Ultrashort Bond EUR (Acc),IE000RHYOR04,4.5072650000,5.5466000000,-25.00,,,EUR,,,,"Savings plan execution IE000RHYOR04 iShares IV plc - iShares € Ultrashort Bond UCITS ETF EUR (Acc), quantity: 4.507265",af752993-720a-4f2b-a8e9-2894cdd8ea48,,,,
2026-03-02T09:33:06.914Z,2026-03-02,DEFAULT,TRADING,BUY,STOCK,Deutsche Post,DE0005552004,3.6787240000,48.9300000000,-180.00,,,EUR,,,,"Savings plan execution DE0005552004 DEUTSCHE POST AG NA O.N., quantity: 3.678724",7b0994a3-2b0c-47a8-8401-cbb690152723,,,,
2026-03-02T09:37:52.901Z,2026-03-02,DEFAULT,TRADING,BUY,STOCK,Unilever,GB00BVZK7T90,1.7761980000,61.9300000000,-110.00,,,EUR,,,,"Savings plan execution GB00BVZK7T90 UNILEVER PLCLS -,035, quantity: 1.776198",b53ca127-a589-48f7-8b01-3f0f431ca1e4,,,,
2026-03-02T11:29:54.251Z,2026-03-02,DEFAULT,TRADING,BUY,FUND,FTSE Emerging Markets USD (Dist),IE00B3VVMM84,2.0694750000,67.6500000000,-140.00,,,EUR,,,,"Savings plan execution IE00B3VVMM84 Vanguard Funds PLC - Vanguard FTSE Emerging Markets UCITS ETF (USD) Distributing, quantity: 2.069475",f359b680-50c2-4b3e-9629-ab838d99822b,,,,
2026-03-02T11:29:55.504Z,2026-03-02,DEFAULT,TRADING,BUY,FUND,FTSE Emerging Markets USD (Dist),IE00B3VVMM84,0.2217290000,67.6500000000,-15.00,,,EUR,,,,"Savings plan execution IE00B3VVMM84 Vanguard Funds PLC - Vanguard FTSE Emerging Markets UCITS ETF (USD) Distributing, quantity: 0.221729",0fc81d44-cff0-4990-9c79-96e27e36861d,,,,
2026-03-02T12:30:56.987Z,2026-03-02,DEFAULT,TRADING,BUY,FUND,FTSE Developed Europe EUR (Dist),IE00B945VV12,1.2318840000,48.3000000000,-59.50,,,EUR,,,,"Savings plan execution IE00B945VV12 Vanguard Funds PLC - Vanguard FTSE Developed Europe UCITS ETF (EUR) Distributing, quantity: 1.231884",fc0244ee-2480-449f-bd5a-66abb090328b,,,,
2026-03-02T12:30:57.393Z,2026-03-02,DEFAULT,TRADING,BUY,FUND,FTSE Developed Europe EUR (Dist),IE00B945VV12,2.8985500000,48.3000000000,-140.00,,,EUR,,,,"Savings plan execution IE00B945VV12 Vanguard Funds PLC - Vanguard FTSE Developed Europe UCITS ETF (EUR) Distributing, quantity: 2.898550",c5e0881a-0b2d-4bef-90de-c87e0d11382e,,,,
2026-03-02T13:01:23.862Z,2026-03-02,DEFAULT,TRADING,BUY,CRYPTO,Solana,SOL,0.2736150000,73.0954000000,-20.00,,,EUR,,,,"Savings plan execution XF000SOL0012 Solana, quantity: 0.273615",dc64a7b7-eb4b-43b2-9273-5cafae6e999e,,,,
2026-03-02T14:39:11.030Z,2026-03-02,DEFAULT,TRADING,BUY,STOCK,Enbridge,CA29250N1050,0.8770000000,45.6100000000,-40.00,,,EUR,,,,"Savings plan execution CA29250N1050 ENBRIDGE INC., quantity: 0.877000",552bec15-279f-4f21-bb18-097248f7ee21,,,,
2026-03-02T15:50:22.901Z,2026-03-02,DEFAULT,TRADING,BUY,STOCK,Johnson & Johnson,US4781601046,0.6568140000,213.1500000000,-140.00,,,EUR,,,,"Savings plan execution US4781601046 JOHNSON + JOHNSON, quantity: 0.656814",ecec667c-184a-4392-9084-be12ef59ff1c,,,,
2026-03-02T16:22:20.128Z,2026-03-02,DEFAULT,TRADING,BUY,STOCK,Fastenal,US3119001044,2.7795320000,39.5750000000,-110.00,,,EUR,,,,"Savings plan execution US3119001044 FASTENAL CO.       DL-,01, quantity: 2.779532",2039c108-4073-4326-b8c3-51e8d230764f,,,,
2026-03-02T17:00:30.929Z,2026-03-02,DEFAULT,TRADING,BUY,STOCK,General Mills,US3703341046,1.7999480000,38.8900000000,-70.00,,,EUR,,,,"Savings plan execution US3703341046 GENL MILLS        DL -,10, quantity: 1.799948",214587a7-3f97-4b2b-91c9-c9f0b886d0f7,,,,
2026-03-02T17:10:09.435Z,2026-03-02,DEFAULT,TRADING,BUY,STOCK,Apple,US0378331005,0.1772650000,225.6500000000,-40.00,,,EUR,,,,"Savings plan execution US0378331005 APPLE INC., quantity: 0.177265",bdf95262-3b19-4f0f-883f-c2267e776180,,,,
2026-03-02T17:13:20.999Z,2026-03-02,DEFAULT,TRADING,BUY,FUND,Prime Global Ucits USD (Acc),IE0009DRDY20,0.8488960000,35.3400000000,-30.00,,,EUR,,,,"Savings plan execution IE0009DRDY20 Amundi Prime Global UCITS ETF Acc, quantity: 0.848896",0642b0cb-14ef-49ba-bdba-4a4880609e0d,,,,
2026-03-02T17:37:12.023Z,2026-03-02,DEFAULT,TRADING,BUY,STOCK,JPMorgan Chase,US46625H1005,0.7075470000,254.4000000000,-180.00,,,EUR,,,,"Savings plan execution US46625H1005 JP MORGAN CH. DL 1, quantity: 0.707547",3efe3098-33f2-4c13-a41b-f6c94151586f,,,,
2026-03-02T17:40:23.573Z,2026-03-02,DEFAULT,TRADING,BUY,STOCK,Qualcomm,US7475251036,1.5251650000,118.0200000000,-180.00,,,EUR,,,,"Savings plan execution US7475251036 QUALCOMM INC.    DL-,0001, quantity: 1.525165",e47c5045-ed78-4797-a428-6c1eaf84771e,,,,
2026-03-02T17:44:02.865Z,2026-03-02,DEFAULT,TRADING,BUY,STOCK,Verizon Communications,US92343V1044,0.7028230000,42.6850000000,-30.00,,,EUR,,,,"Savings plan execution US92343V1044 VERIZON COMM. INC. DL-,10, quantity: 0.702823",f73721e2-17b6-4f3f-8d91-7c9315046aaa,,,,
2026-03-02T17:48:42.068Z,2026-03-02,DEFAULT,TRADING,BUY,STOCK,Coca-Cola,US1912161007,0.5782010000,69.1800000000,-40.00,,,EUR,,,,"Savings plan execution US1912161007 COCA-COLA CO. DL-,25, quantity: 0.578201",1d9b0404-8ab6-4d87-8f0a-952052b58200,,,,
2026-03-02T17:59:52.475Z,2026-03-02,DEFAULT,TRADING,BUY,FUND,Nasdaq Equity Premium Income Active USD (Dist),IE000U9J8HX9,4.9327350000,22.3000000000,-110.00,,,EUR,,,,"Savings plan execution IE000U9J8HX9 JPMorgan ETFs (Ireland) ICAV - Nasdaq Equity Premium Income Active UCITS ETF USD (dist), quantity: 4.932735",697e988b-92dc-401c-9ce4-84bb75a5c3cb,,,,
2026-03-02T18:06:26.898Z,2026-03-02,DEFAULT,TRADING,BUY,STOCK,PepsiCo,US7134481081,0.5538630000,144.4400000000,-80.00,,,EUR,,,,"Savings plan execution US7134481081 PEPSICO INC.     DL-,0166, quantity: 0.553863",12fa148f-ed9b-4911-9c9e-347eb3bac4cb,,,,
2026-03-02T18:10:36.893Z,2026-03-02,DEFAULT,TRADING,BUY,STOCK,Procter & Gamble,US7427181091,0.9898190000,141.4400000000,-140.00,,,EUR,,,,"Savings plan execution US7427181091 PROCTER GAMBLE, quantity: 0.989819",b339c13f-7130-4f51-b070-8dffd26e824a,,,,
2026-03-02T18:13:47.679Z,2026-03-02,DEFAULT,TRADING,BUY,FUND,World Equity High Income USD (Dist),IE000KJPDY61,22.5109990000,4.8865000000,-110.00,,,EUR,,,,"Savings plan execution IE000KJPDY61 iShares World Equity High Income Active UCITS ETF -, quantity: 22.510999",00d5c0e0-c143-421a-bda6-41ad7a6a3d5a,,,,
2026-03-02T18:16:58.437Z,2026-03-02,DEFAULT,TRADING,BUY,FUND,Global Equity Premium Income USD (Dist),IE0003UVYC20,2.4927290000,24.0700000000,-60.00,,,EUR,,,,"Savings plan execution IE0003UVYC20 JPMorgan ETFs (Ireland) ICAV - Global Equity Premium Income Active UCITS ETF USD (dist), quantity: 2.492729",cf5ac5d2-44d3-4d59-beb2-c8802161364f,,,,
2026-03-03T12:34:13.167831Z,2026-03-03,DEFAULT,CASH,DIVIDEND,STOCK,Enbridge,CA29250N1050,69.6569430000,,31.680000,,,EUR,50.69,CAD,0.625000,Cash Dividend for ISIN CA29250N1050,019cb3b1-162f-7f1a-a7eb-905de799bc5d,,,,
2026-03-03T07:53:31.105972Z,2026-03-03,DEFAULT,CASH,TRANSFER_DIRECT_DEBIT_INBOUND,,,,,,-42.870000,,,EUR,,,,Sepa Direct Debit transfer to GC RE OCTOPUS ENERGY GERMANY GMBH (FR7617118820080000002438012),019cb2b0-18e1-74b1-bf30-fa2b7ca35915,,,,
2026-03-03T04:43:45.461494Z,2026-03-03,DEFAULT,CASH,TRANSFER_INSTANT_INBOUND,,,,,,35.470000,,,EUR,,,,"Incoming transfer from Rene Brüggemann, Lutz Brüggemann (DE65760300800860032263)",019cb202-5db5-7860-a916-5472f683184d,,,,
2026-03-03T08:33:27.832198Z,2026-03-03,DEFAULT,CASH,CARD_TRANSACTION,,AMZN Mktp DE,,,,-93.180000,,,EUR,,,,AMZN Mktp DE*537UB0HE5,019cb2d4-ab18-7395-bc75-65481a54da1b,,,,5942
2026-03-03T08:53:35.687592Z,2026-03-03,DEFAULT,CASH,CARD_TRANSACTION,,Lidl sagt Danke,,,,-39.070000,,,EUR,,,,Lidl sagt Danke,019cb2e7-1947-77ce-9b82-3c864d2427a4,,,,5411
2026-03-03T13:32:46.071167Z,2026-03-03,DEFAULT,CASH,CARD_TRANSACTION,,Mer Germany GmbH,,,,-5.210000,,,EUR,,,,Mer Germany GmbH,019cb3e6-b077-76f9-9247-e651ae933f7f,,,,5552
2026-03-04T09:33:24.346578Z,2026-03-04,DEFAULT,CASH,CARD_TRANSACTION,,AMAZON,,,,-21.710000,,,EUR,,,,AMAZON* M264475P5,019cb831-e7fa-76e9-a0e7-4197c56203b6,,,,5999
2026-03-05T09:17:09.148135Z,2026-03-05,DEFAULT,CASH,CARD_TRANSACTION,,PELOTON* ABO,,,,-39.000000,,,EUR,,,,PELOTON* ABO,019cbd49-629c-789c-b355-0d262ab86ffa,,,,5940
2026-03-05T12:44:31.983135Z,2026-03-05,DEFAULT,CASH,CARD_TRANSACTION,,dm.de sagt Danke,,,,-16.300000,,,EUR,,,,DM.DE SAGT DANKE,019cbe07-3f6f-799f-af39-c5d38422fb0c,,,,5912
2026-03-06T15:53:10.133509Z,2026-03-06,DEFAULT,CASH,DIVIDEND,FUND,US Equity Premium Income (Dist),IE000U5MJOZ6,253.1007680000,,28.520000,,,EUR,33.13,USD,0.860733,Cash Dividend for ISIN IE000U5MJOZ6,019cc3da-4ef5-78a6-85b0-c6bae68c6a48,,,,
2026-03-06T15:53:27.715021Z,2026-03-06,DEFAULT,CASH,DIVIDEND,FUND,Nasdaq Equity Premium Income Active USD (Dist),IE000U9J8HX9,218.8390240000,,42.590000,,,EUR,49.48,USD,0.860733,Cash Dividend for ISIN IE000U9J8HX9,019cc3da-93a3-754c-816a-e4cd595b343b,,,,
2026-03-06T15:52:15.500516Z,2026-03-06,DEFAULT,CASH,DIVIDEND,FUND,Global Equity Premium Income USD (Dist),IE0003UVYC20,156.7308830000,,21.260000,,,EUR,24.70,USD,0.860733,Cash Dividend for ISIN IE0003UVYC20,019cc3d9-798c-7d21-82ac-a5efd3b0c5a4,,,,
2026-03-06T09:08:06.871027Z,2026-03-06,DEFAULT,CASH,TRANSFER_INSTANT_OUTBOUND,,,,,,-203.000000,,,EUR,,,,Outgoing transfer for Finanzamt Treptow-Köpenick (DE94100500006600046463),019cc267-7857-7d62-9b01-f8f6d22d15bb,,,,
2026-03-06T08:32:33.495378Z,2026-03-06,DEFAULT,CASH,CARD_TRANSACTION,,On Sportswear,,,,-480.000000,,,EUR,,,,On Sportswear,019cc246-ead7-7409-afcf-2d5e7b9e274b,,,,5655
2026-03-06T11:12:49.669322Z,2026-03-06,DEFAULT,CASH,CARD_TRANSACTION,,Hanife Oeztuerk eK,,,,-50.460000,,,EUR,,,,HANIFE OEZTUERK EK,019cc2d9-a605-73e2-9ecd-2fed302a22b2,,,,5411
2026-03-07T09:35:18.950287Z,2026-03-07,DEFAULT,CASH,CARD_TRANSACTION,,On Sportswear,,,,-200.000000,,,EUR,,,,On Sportswear,019cc7a6-bba6-708d-8273-08ecd4c31336,,,,5655
2026-03-08T11:45:25.492515Z,2026-03-08,DEFAULT,CASH,CARD_TRANSACTION,,Hanife Oeztuerk eK,,,,-7.810000,,,EUR,,,,HANIFE OEZTUERK EK,019ccd44-35f4-7f93-8ec1-2f669e5d8125,,,,5411
